N_WORKERS,COMM_PERIOD,TIME,ACCURACY,OVERLAP
16,1,15.648651,79.7800,0.0
16,1,17.015598,80.2200,0.4
16,1,18.867603,80.3600,0.8
16,10,7.560770,79.7900,0.0
16,10,9.726076,80.2100,0.4
16,10,12.283472,80.3500,0.8
16,20,7.121204,79.7700,0.0
16,20,9.495867,80.2000,0.4
16,20,11.672209,80.3500,0.8
16,40,8.006921,80.0300,0.0
16,40,10.611363,80.3400,0.4
16,40,13.451306,80.4100,0.8
16,80,9.773548,80.2600,0.0
16,80,13.537987,80.4400,0.4
16,80,16.594510,80.7000,0.8
16,100,6.708693,79.7300,0.0
16,100,9.025247,80.1400,0.4
16,100,11.277209,80.3300,0.8
32,1,19.931152,78.3500,0.0
32,1,21.144714,79.2100,0.4
32,1,23.819991,79.5400,0.8
32,10,6.300468,78.3400,0.0
32,10,7.791208,79.2000,0.4
32,10,9.214313,79.4900,0.8
32,20,5.383970,78.3200,0.0
32,20,6.967591,79.1800,0.4
32,20,8.341687,79.5000,0.8
32,40,5.576878,78.7200,0.0
32,40,7.111277,79.4100,0.4
32,40,8.897077,79.7900,0.8
32,80,6.312705,79.3200,0.0
32,80,8.291718,79.8500,0.4
32,80,10.480122,80.1200,0.8
32,100,4.818607,78.2400,0.0
32,100,6.313327,79.1500,0.4
32,100,7.863366,79.4800,0.8
64,1,22.358569,75.5600,0.0
64,1,27.213766,77.1000,0.4
64,1,33.628414,77.9100,0.8
64,10,5.259718,75.5400,0.0
64,10,6.756576,77.0700,0.4
64,10,7.746954,77.9100,0.8
64,20,4.392373,75.5400,0.0
64,20,5.375844,77.0300,0.4
64,20,6.454005,77.8900,0.8
64,40,4.233657,76.3300,0.0
64,40,5.408359,77.5700,0.4
64,40,6.517342,78.5300,0.8
64,80,4.524745,77.4500,0.0
64,80,5.869050,78.5700,0.4
64,80,7.223799,79.2100,0.8
64,100,3.673182,75.4400,0.0
64,100,4.695032,76.9100,0.4
64,100,5.833020,77.8100,0.8
8,1,17.346314,80.4500,0.0
8,1,21.560407,80.7400,0.4
8,1,25.818524,80.8600,0.8
8,10,11.810709,80.4300,0.0
8,10,15.907856,80.7100,0.4
8,10,19.966623,80.9000,0.8
8,20,11.471729,80.4300,0.0
8,20,15.698167,80.7200,0.4
8,20,19.836191,80.8800,0.8
8,40,13.296629,80.6100,0.0
8,40,18.256537,80.8900,0.4
8,40,23.342678,80.8400,0.8
8,80,17.598859,80.8500,0.0
8,80,23.728568,81.0600,0.4
8,80,30.894141,81.1200,0.8
8,100,11.334828,80.4200,0.0
8,100,15.705193,80.7300,0.4
8,100,20.075614,80.8600,0.8
