N_WORKERS,COMM_PERIOD,OVERLAP,COMM_MODE,AGG_MODE,NONIID,UNBALANCED,TIME,ACCURACY
128,1,0.0,0,0,0,0,48.169171,77.2500
128,10,0.0,0,0,0,0,14.289398,77.2200
128,20,0.0,0,0,0,0,12.428632,77.1700
128,50,0.0,0,0,0,0,11.495001,76.9300
128,100,0.0,0,0,0,0,11.096195,76.2400
32,1,0.0,0,0,0,0,,
32,10,0.0,0,0,0,0,25.659643,80.9400
32,20,0.0,0,0,0,0,24.069968,80.9300
32,50,0.0,0,0,0,0,23.131434,80.8900
32,100,0.0,0,0,0,0,23.145771,80.8700
64,1,0.0,0,0,0,0,41.110241,79.1600
64,10,0.0,0,0,0,0,17.710042,79.1500
64,20,0.0,0,0,0,0,15.989776,79.1200
64,50,0.0,0,0,0,0,15.071385,79.1000
64,100,0.0,0,0,0,0,14.793018,78.7300
8,1,0.0,0,0,0,0,81.378153,83.3000
8,10,0.0,0,0,0,0,68.432620,83.3000
8,20,0.0,0,0,0,0,67.159351,83.2800
8,50,0.0,0,0,0,0,67.826475,83.2600
8,100,0.0,0,0,0,0,66.576462,83.2000
