N_WORKERS,COMM_PERIOD,AGG_MODE,COMM_MODE,NONIID,UNBALANCED,TIME,ACCURACY,PKT_SIZE
16,1,0,0,0,0,60.652477,82.3300,44.968
16,1,0,0,0,1,72.326389,82.3600,44.968
16,1,0,0,1,0,61.542717,77.6200,44.968
16,1,0,0,1,1,56.026156,64.1800,44.968
16,1,0,1,0,0,54.166555,82.1800,23.353
16,1,0,1,0,1,61.465185,82.8300,28.270
16,1,0,1,1,0,49.283331,73.8400,24.223
16,1,0,1,1,1,54.785210,63.5200,23.803
16,1,0,2,0,0,57.010613,81.9800,5.336
16,1,0,2,0,1,48.178866,81.0800,5.756
16,1,0,2,1,0,50.315905,46.0500,5.456
16,1,0,2,1,0,,,
16,1,0,2,1,1,54.463398,50.1200,5.816
16,1,1,0,0,0,53.082782,82.3300,44.968
16,1,1,0,0,1,74.097981,82.3600,44.968
16,1,1,0,1,0,59.055749,77.6200,44.968
16,1,1,0,1,1,55.599540,64.1800,44.968
16,1,1,1,0,0,51.162418,82.1100,23.353
16,1,1,1,0,1,64.204691,82.8400,28.270
16,1,1,1,1,0,51.455582,68.2900,24.223
16,1,1,1,1,1,59.154113,64.4200,23.803
16,1,1,2,0,0,51.295309,81.9800,5.336
16,1,1,2,0,1,52.238587,81.0800,5.756
16,1,1,2,1,0,51.350020,46.0500,5.456
16,1,1,2,1,0,53.231036,46.0500,5.456
16,1,1,2,1,1,57.925528,50.1200,5.816
16,10,0,0,0,0,41.088642,82.3200,4.497
16,10,0,0,0,1,51.957779,82.3800,4.497
16,10,0,0,1,0,39.429843,57.5100,4.497
16,10,0,0,1,1,38.199650,43.8200,4.497
16,10,1,0,0,0,40.937495,82.3200,4.497
16,10,1,0,0,1,37.839352,82.3800,4.497
16,10,1,0,1,0,40.042556,57.5100,4.497
16,10,1,0,1,1,42.078619,43.8200,4.497
16,20,0,0,0,0,39.522825,82.3000,2.248
16,20,0,0,0,1,39.990605,82.2900,2.248
16,20,0,0,1,0,39.948314,46.4800,2.248
16,20,0,0,1,1,36.860973,39.7300,2.248
16,20,1,0,0,0,40.297121,82.3000,2.248
16,20,1,0,0,1,46.045176,82.2900,2.248
16,20,1,0,1,0,39.036174,46.4800,2.248
16,20,1,0,1,1,35.859849,39.7300,2.248
16,50,0,0,0,0,39.101447,82.2600,0.899
16,50,0,0,0,1,35.899642,82.1100,0.899
16,50,0,0,1,0,39.230509,37.3800,0.899
16,50,0,0,1,1,36.606815,26.2400,0.899
16,50,1,0,0,0,39.178140,82.2600,0.899
16,50,1,0,0,1,46.720171,82.1100,0.899
16,50,1,0,1,0,39.271614,37.3800,0.899
16,50,1,0,1,1,41.832592,26.2400,0.899
16,100,0,0,0,0,38.318093,82.2700,0.450
16,100,0,0,0,1,35.496051,81.7900,0.450
16,100,0,0,1,0,38.637348,32.9900,0.450
16,100,0,0,1,1,39.691589,23.0000,0.450
16,100,1,0,0,0,38.356057,82.2700,0.450
16,100,1,0,0,1,42.392884,81.7900,0.450
16,100,1,0,1,0,39.052783,32.9900,0.450
16,100,1,0,1,1,37.741383,23.0000,0.450
32,1,0,0,0,0,37.728414,80.9500,92.934
32,1,0,0,0,1,55.826863,80.9500,92.934
32,1,0,0,1,0,49.984650,77.6700,92.934
32,1,0,0,1,1,59.979025,64.3500,92.934
32,1,0,1,0,0,39.639169,80.7700,40.231
32,1,0,1,0,1,42.403844,81.6600,55.071
32,1,0,1,1,0,34.525957,71.9600,48.236
32,1,0,1,1,1,43.804799,62.8300,49.765
32,1,0,2,0,0,41.755225,80.7200,10.043
32,1,0,2,0,1,37.151412,80.5800,10.403
32,1,0,2,1,0,36.100611,54.5500,8.934
32,1,0,2,1,1,39.813447,59.2400,9.563
32,1,1,0,0,0,38.489606,80.9500,92.934
32,1,1,0,0,1,59.431855,80.9500,92.934
32,1,1,0,1,0,37.639466,77.6700,92.934
32,1,1,0,1,1,50.707368,64.3500,92.934
32,1,1,1,0,0,41.562262,80.6900,40.231
32,1,1,1,0,1,46.946655,81.6700,55.071
32,1,1,1,1,0,38.846707,72.1100,48.236
32,1,1,1,1,1,41.032156,61.1900,49.765
32,1,1,2,0,0,39.060068,80.7200,10.043
32,1,1,2,0,1,42.179990,80.5800,10.403
32,1,1,2,1,0,42.370467,54.5500,8.934
32,1,1,2,1,1,36.464281,59.2400,9.563
32,10,0,0,0,0,27.920768,80.9400,9.293
32,10,0,0,0,1,25.611665,80.9600,9.293
32,10,0,0,1,0,26.119560,58.8600,9.293
32,10,0,0,1,1,26.079559,40.3300,9.293
32,10,1,0,0,0,26.693646,80.9400,9.293
32,10,1,0,0,1,27.506687,80.9600,9.293
32,10,1,0,1,0,28.090327,58.8600,9.293
32,10,1,0,1,1,37.935009,40.3300,9.293
32,20,0,0,0,0,25.215169,80.9300,4.647
32,20,0,0,0,1,26.836036,80.9400,4.647
32,20,0,0,1,0,24.524915,47.4700,4.647
32,20,0,0,1,1,26.333798,35.1600,4.647
32,20,1,0,0,0,23.979646,80.9300,4.647
32,20,1,0,0,1,26.478805,80.9400,4.647
32,20,1,0,1,0,25.139071,47.4700,4.647
32,20,1,0,1,1,25.403876,35.1600,4.647
