N_WORKERS,COMM_PERIOD,OVERLAP,COMM_MODE,AGG_MODE,UNBALANCED,TIME,ACCURACY
16,1,0.0,0,0,0,101.644617,82.3300
16,1,0.0,0,3,0,112.961587,82.3200
16,1,0.0,1,0,0,106.218577,82.1900
16,1,0.0,1,0,1,122.240993,82.7300
16,1,0.0,1,2,0,104.235534,82.1900
16,1,0.0,2,0,0,97.022658,82.1000
16,10,0.0,0,0,0,90.322780,82.3200
32,1,0.0,0,0,0,74.266755,80.9500
32,1,0.0,0,3,0,74.885588,80.9300
32,1,0.0,1,0,0,72.272247,80.9700
32,1,0.0,1,0,1,104.325940,81.8300
32,1,0.0,1,2,0,72.609026,80.9300
32,1,0.0,2,0,0,64.546226,80.4600
32,10,0.0,0,0,0,42.797668,80.9400
8,1,0.0,0,0,0,173.763918,83.3000
8,1,0.0,0,3,0,178.144165,83.1800
8,1,0.0,1,0,0,180.583173,83.1300
8,1,0.0,1,0,1,221.822538,83.6200
8,1,0.0,1,2,0,177.431599,83.1400
8,1,0.0,2,0,0,170.829483,83.1000
8,10,0.0,0,0,0,146.279020,83.3000
