N_WORKERS,COMM_PERIOD,OVERLAP,COMM_MODE,AGG_MODE,TIME,ACCURACY
16,1,0.0,0,0,113.212972,90.5200
16,1,0.0,1,0,103.058928,90.3100
16,1,0.0,1,2,103.360345,90.2900
16,1,0.0,2,0,98.455750,90.4000
16,10,0.0,0,0,83.811632,90.5700
16,20,0.0,0,0,75.856279,90.5200
16,100,0.0,0,0,84.191988,90.4100
32,1,0.0,0,0,73.551998,89.5800
32,1,0.0,1,0,69.288569,89.5100
32,1,0.0,1,2,66.654424,89.4500
32,1,0.0,2,0,66.701706,89.4700
32,10,0.0,0,0,43.832928,89.5600
32,20,0.0,0,0,45.087998,89.5300
32,100,0.0,0,0,43.087335,89.3900
64,1,0.0,0,0,59.583715,88.4400
64,1,0.0,1,0,,
8,1,0.0,0,0,182.134516,91.2600
8,1,0.0,1,0,186.268637,91.0200
8,1,0.0,1,2,188.881562,91.0300
8,1,0.0,2,0,173.937562,91.0800
8,10,0.0,0,0,152.413356,91.2600
8,20,0.0,0,0,147.076941,91.2800
8,100,0.0,0,0,148.708637,91.3000
