N_WORKERS,COMM_PERIOD,OVERLAP,COMM_MODE,AGG_MODE,NONIID,UNBALANCED,TIME,ACCURACY
128,1,0.0,0,0,0,0,46.962904,87.0500
128,1,0.0,0,0,0,1,49.405476,87.1200
128,1,0.0,0,0,1,0,47.189411,86.9000
128,1,0.0,0,0,1,1,48.217714,85.7800
128,1,0.0,0,2,0,0,49.194191,87.0500
128,1,0.0,0,2,0,1,46.664180,87.1200
128,1,0.0,0,2,1,0,49.817912,87.0100
128,1,0.0,0,2,1,1,50.305207,85.7200
128,1,0.0,0,3,0,0,49.960676,84.4600
128,1,0.0,0,3,0,1,40.058042,89.4500
128,1,0.0,0,3,1,0,49.620304,19.0700
128,1,0.0,0,3,1,1,52.136446,19.7600
128,1,0.0,1,0,0,0,40.190906,86.7600
128,1,0.0,1,0,0,1,47.583920,88.3700
128,1,0.0,1,0,1,0,37.930603,84.0900
128,1,0.0,1,0,1,1,37.911583,85.6100
128,1,0.0,1,2,0,0,36.703425,86.7700
128,1,0.0,1,2,0,1,40.502376,88.3800
128,1,0.0,1,2,1,0,37.206544,84.3700
128,1,0.0,1,2,1,1,40.597429,85.6700
128,1,0.0,1,3,0,0,36.166046,84.1400
128,1,0.0,1,3,0,1,43.514342,89.2300
128,1,0.0,1,3,1,0,,
128,1,0.0,1,3,1,1,37.623854,19.8200
128,1,0.0,2,0,0,0,43.890419,86.9500
128,1,0.0,2,0,0,1,,
128,1,0.0,2,0,1,0,38.332059,87.0000
128,1,0.0,2,0,1,1,35.585942,84.9500
128,1,0.0,2,2,0,0,40.028122,86.9800
128,1,0.0,2,2,0,1,,
128,1,0.0,2,2,1,0,38.863762,86.7900
128,1,0.0,2,2,1,1,,
128,1,0.0,2,3,0,0,40.845678,86.2800
128,1,0.0,2,3,0,1,,
128,1,0.0,2,3,1,0,38.435762,43.9800
128,1,0.0,2,3,1,1,,
32,1,0.0,0,0,0,0,38.725822,89.5800
32,1,0.0,0,0,0,1,53.276764,89.5700
32,1,0.0,0,0,1,0,44.878218,88.4100
32,1,0.0,0,0,1,1,64.437718,84.9800
32,1,0.0,0,2,0,0,41.194082,89.5800
32,1,0.0,0,2,0,1,44.019518,89.5600
32,1,0.0,0,2,1,0,37.516938,88.4200
32,1,0.0,0,2,1,1,66.200025,84.8900
32,1,0.0,0,3,0,0,50.244431,89.1500
32,1,0.0,0,3,0,1,52.526531,90.2400
32,1,0.0,0,3,1,0,48.628600,19.7200
32,1,0.0,0,3,1,1,58.398678,26.0800
32,1,0.0,1,0,0,0,40.116041,89.5000
32,1,0.0,1,0,0,1,49.152049,90.0100
32,1,0.0,1,0,1,0,41.353070,87.0900
32,1,0.0,1,0,1,1,53.967514,85.2900
32,1,0.0,1,2,0,0,38.672567,89.4600
32,1,0.0,1,2,0,1,42.376728,90.0200
32,1,0.0,1,2,1,0,38.448068,86.5000
32,1,0.0,1,2,1,1,42.777518,86.1800
32,1,0.0,1,3,0,0,41.656275,88.9100
32,1,0.0,1,3,0,1,42.652670,89.9800
32,1,0.0,1,3,1,0,46.610744,28.6100
32,1,0.0,1,3,1,1,45.980284,35.3500
32,1,0.0,2,0,0,0,,
32,1,0.0,2,0,0,1,42.268392,89.8400
32,1,0.0,2,0,1,0,,
32,1,0.0,2,0,1,1,,
32,1,0.0,2,2,0,0,40.201955,89.5100
32,1,0.0,2,2,0,1,,
32,1,0.0,2,2,1,0,38.069741,88.4100
32,1,0.0,2,2,1,1,,
32,1,0.0,2,3,0,0,,
32,1,0.0,2,3,0,1,,
32,1,0.0,2,3,1,0,,
32,1,0.0,2,3,1,1,,
64,1,0.0,0,0,0,0,34.593874,88.4400
