N_WORKERS,COMM_PERIOD,AGG_MODE,COMM_MODE,NONIID,UNBALANCED,TIME,ACCURACY,PKT_SIZE
16,1,0,0,0,0,53.428523,90.5200,44.968
16,1,0,0,0,1,56.661802,90.5500,44.968
16,1,0,0,1,0,62.546713,87.8700,44.968
16,1,0,0,1,1,80.243772,79.6000,44.968
16,1,0,1,0,0,48.823966,90.2800,18.707
16,1,0,1,0,1,63.134809,90.8600,27.401
16,1,0,1,1,0,50.157417,87.0500,25.812
16,1,0,1,1,1,55.825305,82.1300,23.503
16,1,0,2,0,0,53.987382,90.2400,5.696
16,1,0,2,0,1,45.711557,89.0000,5.396
16,1,0,2,1,0,51.053415,69.1700,5.696
16,1,0,2,1,1,54.843421,64.1600,5.546
16,1,1,0,0,0,57.127120,90.5200,44.968
16,1,1,0,0,1,75.666846,90.5500,44.968
16,1,1,0,1,0,63.911056,87.8700,44.968
16,1,1,0,1,1,76.451873,79.6000,44.968
16,1,1,1,0,0,50.133118,90.2700,18.707
16,1,1,1,0,1,66.726292,90.8600,27.401
16,1,1,1,1,0,51.603631,87.7600,25.812
16,1,1,1,1,1,53.918258,82.6500,23.503
16,1,1,2,0,0,50.448137,90.2400,5.696
16,1,1,2,0,1,50.744187,89.0000,5.396
16,1,1,2,1,0,49.382810,69.1700,5.696
16,1,1,2,1,1,54.606935,64.1600,5.546
16,10,0,0,0,0,40.541016,90.5700,4.497
16,10,0,0,0,1,39.019047,90.5300,4.497
16,10,0,0,1,0,40.664337,76.3100,4.497
16,10,0,0,1,1,40.533775,59.5700,4.497
16,10,1,0,0,0,40.679561,90.5700,4.497
16,10,1,0,0,1,38.287164,90.5300,4.497
16,10,1,0,1,0,41.087607,76.3100,4.497
16,10,1,0,1,1,46.058805,59.5700,4.497
16,20,0,0,0,0,40.318693,90.5200,2.248
16,20,0,0,0,1,44.277941,90.4700,2.248
16,20,0,0,1,0,39.437996,68.8100,2.248
16,20,0,0,1,1,41.602770,51.5600,2.248
16,20,1,0,0,0,40.095585,90.5200,2.248
16,20,1,0,0,1,38.795892,90.4700,2.248
16,20,1,0,1,0,39.429280,68.8100,2.248
16,20,1,0,1,1,43.968491,51.5600,2.248
16,50,0,0,0,0,39.328873,90.4700,0.899
16,50,0,0,0,1,40.210121,90.3900,0.899
16,50,0,0,1,0,39.523845,55.7600,0.899
16,50,0,0,1,1,37.222321,46.2100,0.899
16,50,1,0,0,0,38.484602,90.4700,0.899
16,50,1,0,0,1,45.194709,90.3900,0.899
16,50,1,0,1,0,38.862249,55.7600,0.899
16,50,1,0,1,1,41.448274,46.2100,0.899
16,100,0,0,0,0,38.906651,90.4100,0.450
16,100,0,0,0,1,36.254955,90.0600,0.450
16,100,0,0,1,0,38.990485,46.4700,0.450
16,100,0,0,1,1,48.435633,43.6300,0.450
16,100,1,0,0,0,38.897185,90.4100,0.450
16,100,1,0,0,1,45.536603,90.0600,0.450
16,100,1,0,1,0,38.962291,46.4700,0.450
16,100,1,0,1,1,43.581599,43.6300,0.450
32,1,0,0,0,0,38.515543,89.5800,92.934
32,1,0,0,0,1,61.919171,89.5700,92.934
32,1,0,0,1,0,47.303757,88.4100,92.934
32,1,0,0,1,1,57.499582,84.9800,92.934
32,1,0,1,0,0,34.331616,89.4900,43.499
32,1,0,1,0,1,51.917012,90.0300,56.510
32,1,0,1,1,0,39.834399,87.4700,53.692
32,1,0,1,1,1,45.094004,86.2600,52.673
32,1,0,2,0,0,44.711685,89.6500,10.193
32,1,0,2,0,1,46.034371,89.0600,10.373
32,1,0,2,1,0,36.845675,65.2700,10.433
32,1,0,2,1,1,38.098357,81.9300,10.013
32,1,1,0,0,0,46.617638,89.5800,92.934
32,1,1,0,0,1,53.883996,89.5700,92.934
32,1,1,0,1,0,37.923562,88.4100,92.934
32,1,1,0,1,1,52.112128,84.9800,92.934
32,1,1,1,0,0,39.494684,89.5800,43.499
32,1,1,1,0,1,45.876370,90.0200,56.510
32,1,1,1,1,0,35.079787,86.5200,53.692
32,1,1,1,1,1,44.123158,86.3800,52.673
32,1,1,2,0,0,45.936536,89.6500,10.193
32,1,1,2,0,1,40.715818,89.0600,10.373
32,1,1,2,1,0,39.503238,65.2700,10.433
32,1,1,2,1,1,43.330673,81.9300,10.013
32,10,0,0,0,0,27.211203,89.5600,9.293
32,10,0,0,0,1,28.889147,89.5400,9.293
32,10,0,0,1,0,25.425319,82.6000,9.293
32,10,0,0,1,1,31.269736,58.7600,9.293
32,10,1,0,0,0,26.629159,89.5600,9.293
32,10,1,0,0,1,29.250908,89.5400,9.293
32,10,1,0,1,0,26.635280,82.6000,9.293
32,10,1,0,1,1,26.435445,58.7600,9.293
32,20,0,0,0,0,23.944986,89.5300,4.647
32,20,0,0,0,1,30.989422,89.5300,4.647
32,20,0,0,1,0,24.892830,80.5300,4.647
32,20,0,0,1,1,25.168939,47.9300,4.647
32,20,1,0,0,0,24.917492,89.5300,4.647
32,20,1,0,0,1,23.857448,89.5300,4.647
32,20,1,0,1,0,24.091703,80.5300,4.647
