N_WORKERS,COMM_PERIOD,OVERLAP,COMM_MODE,AGG_MODE,TIME,ACCURACY
16,1,0.0,0,0,25.231528,81.5700
16,1,0.0,0,2,26.779605,81.5700
16,1,0.0,0,3,34.253398,81.6200
16,1,0.0,1,2,36.574601,81.5800
16,1,0.0,2,0,26.198817,81.3700
16,10,0.0,0,0,20.957934,81.5700
16,100,0.0,0,0,21.814183,81.5800
4,1,0.0,0,0,37.035375,83.6500
4,1,0.0,0,2,37.101832,83.6500
4,1,0.0,0,3,42.156256,83.6400
4,1,0.0,1,0,39.983115,83.5900
4,1,0.0,1,2,42.924118,83.5900
4,1,0.0,2,0,36.717999,83.5600
4,5,0.0,0,0,32.483010,83.6400
4,10,0.0,0,0,34.777277,83.6400
4,20,0.0,0,0,35.958857,83.6400
4,100,0.0,0,0,30.581820,83.6500
4,100,0.0,0,3,35.149500,83.5900
