N_WORKERS,COMM_PERIOD,OVERLAP,COMM_MODE,AGG_MODE,TIME,ACCURACY
16,1,0.0,0,0,26.791774,90.0800
16,1,0.0,0,2,30.202406,90.0800
16,1,0.0,0,3,45.750656,89.6400
16,1,0.0,1,0,34.666056,89.8900
16,1,0.0,1,2,35.420066,89.8600
16,1,0.0,2,0,30.990298,89.9800
16,10,0.0,0,0,20.872088,90.0800
16,100,0.0,0,0,26.669020,89.9000
4,1,0.0,0,0,36.576566,91.5300
4,1,0.0,0,2,37.559911,91.5300
4,1,0.0,0,3,40.442234,91.4700
4,1,0.0,1,0,40.282420,91.4300
4,1,0.0,2,0,37.724357,91.4000
4,5,0.0,0,0,31.155781,91.5000
4,10,0.0,0,0,31.257085,91.5100
4,20,0.0,0,0,32.255679,91.5100
4,100,0.0,0,0,29.968007,91.4900
